Labels,X,Y
AA.N,1.88,1.47
AAPL.OQ,7.59,7.16
AXP.N,0.20,2.08
BA.N,-1.60,-3.10
BAC.N,5.32,5.02
CAT.N,-1.52,-0.44
CSCO.OQ,10.09,9.50
CVX.N,-6.10,-6.19
DD.N,-13.92,-16.46
DIS.N,-2.48,-2.21
GE.N,1.43,1.45
GS.N,-2.01,-2.00
HD.N,-0.20,-0.30
HPQ.N,24.47,24.45
IBM.N,-1.66,-2.30
INTC.OQ,3.95,4.09
JNJ.N,-0.05,-0.58
JPM.N,-2.23,-2.06
KO.N,3.26,4.00
MCD.N,-0.02,0.39
MMM.N,-0.20,1.20
MRK.N,2.04,1.59
MSFT.OQ,-2.54,-2.70
NKE.N,-2.38,-4.25
PFE.N,4.96,5.05
PG.N,1.54,1.59
T.N,-1.10,-1.01
TRV.N,10.27,9.63
UNH.N,0.49,0.47
UTX.N,2.10,2.12
V.N,6.17,5.22
VZ.N,3.11,2.77
WMT.N,10.92,10.87
XOM.N,0.48,0.49
